table_name,column_name,key_type,referenced_table,referenced_column,records,unique_records,exists,valid_references,invalid_references
account,accountid,primary,,,1757,1757,1,,
accountuserrole,accountId,foreign,account,accountid,210461,1643,1,210461,0
address,addressid,primary,,,2631711,2631711,1,,
bankaccount,bankaccountid,primary,,,862191,862191,1,,
beneficiary,beneficiaryid,primary,,,831406,831406,1,,
beneficiary,accountid,foreign,account,accountid,831406,1508,1,831161,245
country,countryid,primary,,,253,253,1,,
currencybalance,accountid,foreign,account,accountid,2761,1740,1,2756,5
currencybalanceentry,currencybalanceentryid,primary,,,4211951,4211951,1,,
currencybalanceentry,accountid,foreign,account,accountid,4211951,1740,1,4211927,24
role,roleid,primary,,,148,148,1,,
trade,tradeid,primary,,,1536307,1536307,1,,
trade,accountid,foreign,account,accountid,1536307,1424,1,1536302,5
tradeline,tradelineid,primary,,,3947706,3947706,1,,
user,userid,primary,,,3312,3312,1,,
useraccount,accountid,foreign,account,accountid,286040,1773,1,285937,103
useraccount,userid,foreign,user,userid,286040,3255,1,286040,0
xafe_transactions,tradelineid,foreign,tradeline,tradelineid,3941781,3941422,1,3941781,0
xafeaccount,id,primary,,,1739,1739,1,,
